0	P127
1	P608
2	P921
3	P195
4	P170
5	P136
6	P276
7	P135
8	P31
9	P6216
10	P186
11	P180
12	P2634
13	P1343
14	P88
15	P1889
16	P793
17	P4969
18	P140
19	P527
20	P17
21	P106
22	P21
23	P20
24	P22
25	P25
26	P27
27	P410
28	P1412
29	P735
30	P39
31	P166
32	P607
33	P40
34	P1038
35	P97
36	P19
37	P189
38	P61
39	P2348
40	P2596
41	P5008
42	P941
43	P1071
44	P144
45	P495
46	P840
47	P910
48	P2079
49	P6606
50	P1639
51	P361
52	P669
53	P84
54	P131
55	P1435
56	P7984
57	P547
58	P972
59	P1433
60	P179
61	P156
62	P138
63	P460
64	P1299
65	P176
66	P1830
67	P734
68	P149
69	P1877
70	P6379
71	P1028
72	P2408
73	P562
74	P859
75	P1419
76	P2681
77	P155
78	P2682
79	P737
80	P2936
81	P407
82	P740
83	P462
84	P7763
85	P1066
86	P366
87	P2354
88	P825
89	P7108
90	P770
91	P5816
92	P1303
93	P108
94	P26
95	P412
96	P119
97	P3373
98	P279
99	P805
100	P1416
101	P50
102	P466
103	P123
104	P509
105	P69
106	P9493
107	P6275
108	P1950
109	P1196
110	P1441
