Id,Jid,entity,label
84,Q1012797,http://www.wikidata.org/entity/Q1012797,Ostia
85,Q1013479,http://www.wikidata.org/entity/Q1013479,Plédéliac
86,Q101401,http://www.wikidata.org/entity/Q101401,bell
87,Q101423425,http://www.wikidata.org/entity/Q101423425,Jean-Jacques Hueber
88,Q10145,http://www.wikidata.org/entity/Q10145,milestone
89,Q101481124,http://www.wikidata.org/entity/Q101481124,Portrait of Johannes Rutgersius (1589-1625)
90,Q101493538,http://www.wikidata.org/entity/Q101493538,Portrait d'homme
91,Q101494065,http://www.wikidata.org/entity/Q101494065,La Terre (deux nus)
92,Q101499652,http://www.wikidata.org/entity/Q101499652,Q101499652
93,Q101538,http://www.wikidata.org/entity/Q101538,Trifolium
94,Q101584120,http://www.wikidata.org/entity/Q101584120,Joseph Dreyfus
95,Q1016,http://www.wikidata.org/entity/Q1016,Libya
96,Q101609,http://www.wikidata.org/entity/Q101609,Twelve Olympians
97,Q101625,http://www.wikidata.org/entity/Q101625,Marrakesh
98,Q101687,http://www.wikidata.org/entity/Q101687,altar
99,Q1016909,http://www.wikidata.org/entity/Q1016909,Burrell Collection
100,Q101711,http://www.wikidata.org/entity/Q101711,Convallaria majalis
101,Q1018166,http://www.wikidata.org/entity/Q1018166,Bouan
102,Q1018991,http://www.wikidata.org/entity/Q1018991,band
103,Q1019,http://www.wikidata.org/entity/Q1019,Madagascar
104,Q101949,http://www.wikidata.org/entity/Q101949,mantle
105,Q101983140,http://www.wikidata.org/entity/Q101983140,"Musée Saint-Raymond, 70 3 3"
106,Q101986043,http://www.wikidata.org/entity/Q101986043,"Musée Saint-Raymond, 26013"
107,Q1020225,http://www.wikidata.org/entity/Q1020225,Courbes
108,Q102036399,http://www.wikidata.org/entity/Q102036399,Q102036399
109,Q102036421,http://www.wikidata.org/entity/Q102036421,Pauline Virginie Ono-dit-Biot
110,Q102036562,http://www.wikidata.org/entity/Q102036562,Irma Clare
111,Q102059,http://www.wikidata.org/entity/Q102059,Gorgons
112,Q102066,http://www.wikidata.org/entity/Q102066,navigation
113,Q102083,http://www.wikidata.org/entity/Q102083,knight
114,Q1021184,http://www.wikidata.org/entity/Q1021184,Poetic realism
115,Q102231,http://www.wikidata.org/entity/Q102231,rose
116,Q102254226,http://www.wikidata.org/entity/Q102254226,Two girls in a wood
117,Q102272,http://www.wikidata.org/entity/Q102272,Jan van Eyck
118,Q10231,http://www.wikidata.org/entity/Q10231,Rivoli
119,Q102422784,http://www.wikidata.org/entity/Q102422784,Valentine Godè-Darel
120,Q1025,http://www.wikidata.org/entity/Q1025,Mauritania
121,Q102543223,http://www.wikidata.org/entity/Q102543223,Q102543223
122,Q1025688,http://www.wikidata.org/entity/Q1025688,Café de la Nouvelle Athènes
123,Q10261,http://www.wikidata.org/entity/Q10261,Pythagoras
124,Q10268802,http://www.wikidata.org/entity/Q10268802,illegal drug
125,Q10271033,http://www.wikidata.org/entity/Q10271033,Vétheuil Church
126,Q102728,http://www.wikidata.org/entity/Q102728,Ypres
127,Q1027402,http://www.wikidata.org/entity/Q1027402,musée des Beaux-Arts de Bernay
128,Q1027719,http://www.wikidata.org/entity/Q1027719,rue Royale
129,Q1027977,http://www.wikidata.org/entity/Q1027977,camaieu technique
130,Q1028,http://www.wikidata.org/entity/Q1028,Morocco
131,Q102813713,http://www.wikidata.org/entity/Q102813713,Germain Piètre
132,Q1028181,http://www.wikidata.org/entity/Q1028181,painter
133,Q10282,http://www.wikidata.org/entity/Q10282,Pamplona
134,Q10285,http://www.wikidata.org/entity/Q10285,Colosseum
135,Q102851,http://www.wikidata.org/entity/Q102851,Boethius
136,Q102865,http://www.wikidata.org/entity/Q102865,Darius III
137,Q1028747,http://www.wikidata.org/entity/Q1028747,modius
138,Q102884,http://www.wikidata.org/entity/Q102884,Mnemosyne
139,Q10289,http://www.wikidata.org/entity/Q10289,barrel
140,Q10289604,http://www.wikidata.org/entity/Q10289604,Kiss of Judas
141,Q102911,http://www.wikidata.org/entity/Q102911,Holland
142,Q1029143,http://www.wikidata.org/entity/Q1029143,Jacob Cornelisz van Oostsanen
143,Q1029257,http://www.wikidata.org/entity/Q1029257,Camille Roqueplan
144,Q10292830,http://www.wikidata.org/entity/Q10292830,"Salle des États, Louvre"
145,Q1029378,http://www.wikidata.org/entity/Q1029378,continence of Scipio
146,Q10294,http://www.wikidata.org/entity/Q10294,poverty
147,Q1029715,http://www.wikidata.org/entity/Q1029715,adoration of the shepherds
148,Q103011,http://www.wikidata.org/entity/Q103011,Corinth
149,Q10303058,http://www.wikidata.org/entity/Q10303058,intendance
150,Q103163,http://www.wikidata.org/entity/Q103163,abbot
151,Q10316722,http://www.wikidata.org/entity/Q10316722,The Flood
152,Q10316761,http://www.wikidata.org/entity/Q10316761,Leander
153,Q10317575,http://www.wikidata.org/entity/Q10317575,Red Boats at Argenteuil
154,Q103179902,http://www.wikidata.org/entity/Q103179902,Jean de Rieux or Jean d'Albon
155,Q10319317,http://www.wikidata.org/entity/Q10319317,Livio Odescalchi
156,Q10321973,http://www.wikidata.org/entity/Q10321973,Léon Étienne Tournes
157,Q10322723,http://www.wikidata.org/entity/Q10322723,Macbeth
158,Q1032662,http://www.wikidata.org/entity/Q1032662,Canal du Loing
159,Q1032707,http://www.wikidata.org/entity/Q1032707,Canal de Garonne
160,Q1032847,http://www.wikidata.org/entity/Q1032847,Pieter van Mol
161,Q103305,http://www.wikidata.org/entity/Q103305,Volterra
162,Q1033064,http://www.wikidata.org/entity/Q1033064,John James Chalon
163,Q10333407,http://www.wikidata.org/entity/Q10333407,Museum Baron Martin
164,Q1033512,http://www.wikidata.org/entity/Q1033512,Vincent Courdouan
165,Q1034140,http://www.wikidata.org/entity/Q1034140,Justus van Egmont
166,Q1034198,http://www.wikidata.org/entity/Q1034198,cape
167,Q103459,http://www.wikidata.org/entity/Q103459,livestock
168,Q10349690,http://www.wikidata.org/entity/Q10349690,Peter van Boucle
169,Q103515401,http://www.wikidata.org/entity/Q103515401,Ariane abandonnée
170,Q1037154,http://www.wikidata.org/entity/Q1037154,Gillis Coignet
171,Q103766841,http://www.wikidata.org/entity/Q103766841,Pierre Schlumberger
172,Q10387575,http://www.wikidata.org/entity/Q10387575,monument historique inscrit
173,Q10387684,http://www.wikidata.org/entity/Q10387684,classified historical monument
174,Q103896,http://www.wikidata.org/entity/Q103896,compass
175,Q103934,http://www.wikidata.org/entity/Q103934,Everhard Jabach
176,Q103936833,http://www.wikidata.org/entity/Q103936833,Élise Gérold
177,Q103960,http://www.wikidata.org/entity/Q103960,Semiramis
178,Q103968,http://www.wikidata.org/entity/Q103968,Clio
179,Q103975,http://www.wikidata.org/entity/Q103975,Calliope
180,Q10398273,http://www.wikidata.org/entity/Q10398273,St John's Eve
181,Q103992,http://www.wikidata.org/entity/Q103992,Melpomene
182,Q104002,http://www.wikidata.org/entity/Q104002,Urania
183,Q104012,http://www.wikidata.org/entity/Q104012,Euterpe
184,Q104042,http://www.wikidata.org/entity/Q104042,Terpsichore
185,Q1041,http://www.wikidata.org/entity/Q1041,Senegal
186,Q104161369,http://www.wikidata.org/entity/Q104161369,Q104161369
187,Q104173652,http://www.wikidata.org/entity/Q104173652,"Musée Saint-Raymond, Ra 50 bis"
188,Q104173683,http://www.wikidata.org/entity/Q104173683,"Musée Saint-Raymond, Ra 501"
189,Q104173756,http://www.wikidata.org/entity/Q104173756,paleochristian sarcophagus Ra 809 b
190,Q104197260,http://www.wikidata.org/entity/Q104197260,Marie-Adélaïde Duvieux
191,Q1041995,http://www.wikidata.org/entity/Q1041995,Carlo Carlone
192,Q104212,http://www.wikidata.org/entity/Q104212,Humulus lupulus
193,Q104212721,http://www.wikidata.org/entity/Q104212721,A Portrait by Jean-Baptiste Regnault
194,Q104212759,http://www.wikidata.org/entity/Q104212759,Saint Francis Receiving the Stigmata
195,Q1042154,http://www.wikidata.org/entity/Q1042154,Carlo Francesco Maria Caselli
196,Q104243382,http://www.wikidata.org/entity/Q104243382,Q104243382
197,Q104243397,http://www.wikidata.org/entity/Q104243397,Q104243397
198,Q104244403,http://www.wikidata.org/entity/Q104244403,Saint Francis of Assisi in Ecstasy
199,Q1043197,http://www.wikidata.org/entity/Q1043197,divination
200,Q10435,http://www.wikidata.org/entity/Q10435,Musca
201,Q104350032,http://www.wikidata.org/entity/Q104350032,Q104350032
202,Q104352528,http://www.wikidata.org/entity/Q104352528,Q104352528
203,Q104352541,http://www.wikidata.org/entity/Q104352541,Q104352541
204,Q104352792,http://www.wikidata.org/entity/Q104352792,Q104352792
205,Q104354,http://www.wikidata.org/entity/Q104354,Bagrationovsk
206,Q104356040,http://www.wikidata.org/entity/Q104356040,Q104356040
207,Q104363,http://www.wikidata.org/entity/Q104363,anvil
