relation,index
http://www.wikidata.org/prop/direct/P910,143
http://www.wikidata.org/prop/direct/P2079,144
http://www.wikidata.org/prop/direct/P11756,145
http://www.wikidata.org/prop/direct/P6606,146
http://www.wikidata.org/prop/direct/P1639,147
http://www.wikidata.org/prop/direct/P361,148
http://www.wikidata.org/prop/direct/P669,149
http://www.wikidata.org/prop/direct/P965,150
http://www.wikidata.org/prop/direct/P84,151
http://www.wikidata.org/prop/direct/P131,152
http://www.wikidata.org/prop/direct/P1435,153
http://www.wikidata.org/prop/direct/P6238,154
http://www.wikidata.org/prop/direct/P380,155
http://www.wikidata.org/prop/direct/P6355,156
http://www.wikidata.org/prop/direct/P7984,157
http://www.wikidata.org/prop/direct/P2561,158
http://www.wikidata.org/prop/direct/P547,159
http://www.wikidata.org/prop/direct/P1259,160
http://www.wikidata.org/prop/direct/P972,161
http://www.wikidata.org/prop/direct/P1433,162
http://www.wikidata.org/prop/direct/P179,163
http://www.wikidata.org/prop/direct/P1680,164
http://www.wikidata.org/prop/direct/P3417,165
http://www.wikidata.org/prop/direct/P156,166
http://www.wikidata.org/prop/direct/P2043,167
http://www.wikidata.org/prop/direct/P138,168
http://www.wikidata.org/prop/direct/P4739,169
http://www.wikidata.org/prop/direct/P2610,170
http://www.wikidata.org/prop/direct/P6141,171
http://www.wikidata.org/prop/direct/P481,172
http://www.wikidata.org/prop/direct/P8962,173
http://www.wikidata.org/prop/direct/P1448,174
http://www.wikidata.org/prop/direct/P4144,175
http://www.wikidata.org/prop/direct/P2539,176
http://www.wikidata.org/prop/direct/P6108,177
http://www.wikidata.org/prop/direct/P460,178
http://www.wikidata.org/prop/direct/P6301,179
http://www.wikidata.org/prop/direct/P1299,180
http://www.wikidata.org/prop/direct/P5524,181
http://www.wikidata.org/prop/direct/P935,182
http://www.wikidata.org/prop/direct/P6246,183
http://www.wikidata.org/prop/direct/P2014,184
http://www.wikidata.org/prop/direct/P4945,185
http://www.wikidata.org/prop/direct/P10187,186
http://www.wikidata.org/prop/direct/P7021,187
http://www.wikidata.org/prop/direct/P4896,188
http://www.wikidata.org/prop/direct/P2386,189
http://www.wikidata.org/prop/direct/P2067,190
http://www.wikidata.org/prop/direct/P8751,191
http://www.wikidata.org/prop/direct/P4178,192
