Type URI,Type Label,Total Entities
http://www.wikidata.org/entity/Q13360570,milliarium,4
http://www.wikidata.org/entity/Q1136095,skyphos,2
http://www.wikidata.org/entity/Q189299,necklace,3
http://www.wikidata.org/entity/Q219423,mural,8
http://www.wikidata.org/entity/Q163446,carpet,1
http://www.wikidata.org/entity/Q22075301,textile artwork,1
http://www.wikidata.org/entity/Q833823,beaker,2
http://www.wikidata.org/entity/Q56325988,Q56325988,3
http://www.wikidata.org/entity/Q11086465,neck amphora,1
http://www.wikidata.org/entity/Q3180027,belt buckle,5
http://www.wikidata.org/entity/Q15856664,antenna sword,2
http://www.wikidata.org/entity/Q191851,vase,8
http://www.wikidata.org/entity/Q21818579,liturgical object,2
http://www.wikidata.org/entity/Q1053956,bead,2
http://www.wikidata.org/entity/Q11083119,urn,6
http://www.wikidata.org/entity/Q2111434,pendant,2
http://www.wikidata.org/entity/Q11835431,engraving,1
http://www.wikidata.org/entity/Q161524,mask,4
http://www.wikidata.org/entity/Q848330,tondo,5
http://www.wikidata.org/entity/Q717954,aryballos,10
http://www.wikidata.org/entity/Q35197,mirror,3
http://www.wikidata.org/entity/Q3859830,modello,1
http://www.wikidata.org/entity/Q132397,pitcher,4
http://www.wikidata.org/entity/Q208120,caryatid,1
http://www.wikidata.org/entity/Q245117,relief sculpture,12
http://www.wikidata.org/entity/Q3391771,platter,7
http://www.wikidata.org/entity/Q2474386,spindle whorl,1
http://www.wikidata.org/entity/Q680343,armband,3
http://www.wikidata.org/entity/Q184296,tapestry,11
http://www.wikidata.org/entity/Q838948,work of art,4
http://www.wikidata.org/entity/Q187459,entablature,3
http://www.wikidata.org/entity/Q98929143,funerary stele,3
http://www.wikidata.org/entity/Q1941820,mold,1
http://www.wikidata.org/entity/Q162919,seal,2
http://www.wikidata.org/entity/Q571723,antefix,5
http://www.wikidata.org/entity/Q981009,fauteuil,2
http://www.wikidata.org/entity/Q673338,alabastron,6
http://www.wikidata.org/entity/Q19702902,votive altar,2
http://www.wikidata.org/entity/Q15072800,cemetery cross,1
http://www.wikidata.org/entity/Q18643231,Q18643231,1
http://www.wikidata.org/entity/Q296955,oil paint,2
http://www.wikidata.org/entity/Q1144689,folding screen,1
http://www.wikidata.org/entity/Q18218093,etching print,3
